iter	Passed	Remaining
801	1816	448
802	1820	446
803	1822	444
804	1824	441
805	1826	439
806	1829	437
807	1830	435
808	1833	432
809	1837	430
810	1839	428
811	1841	426
812	1843	423
813	1844	421
814	1846	419
815	1849	417
816	1851	414
817	1854	412
818	1856	410
819	1858	408
820	1860	405
821	1864	403
822	1866	401
823	1869	399
824	1871	397
825	1873	394
826	1875	392
827	1883	391
828	1885	388
829	1887	386
830	1889	384
831	1895	382
832	1897	380
833	1899	377
834	1901	375
835	1902	373
836	1904	370
837	1912	369
838	1915	367
839	1920	365
840	1924	363
841	1927	361
842	1928	359
843	1931	357
844	1933	354
845	1937	352
846	1939	350
847	1941	348
848	1943	345
849	1945	343
850	1946	340
851	1951	338
852	1953	336
853	1955	334
854	1957	331
855	1959	329
856	1961	327
857	1962	324
858	1964	322
859	1967	320
860	1969	317
861	1971	315
862	1973	313
863	1974	310
864	1976	308
865	1979	306
866	1981	304
867	1984	301
868	1985	299
869	1987	296
870	1989	294
871	1990	292
872	1993	290
873	1997	287
874	1999	285
875	2001	283
876	2004	281
877	2009	279
878	2015	277
879	2018	275
880	2022	273
881	2027	271
882	2031	269
883	2033	266
884	2034	264
885	2036	262
886	2040	259
887	2041	257
888	2044	255
889	2046	252
890	2047	250
891	2050	248
892	2056	246
893	2058	244
894	2060	241
895	2062	239
896	2064	237
897	2068	234
898	2071	232
899	2072	230
900	2075	228
901	2077	225
902	2079	223
903	2084	221
904	2086	219
905	2088	216
906	2090	214
907	2092	212
908	2095	209
909	2100	207
910	2103	205
911	2105	203
912	2109	201
913	2112	198
914	2115	196
915	2117	194
916	2120	191
917	2123	189
918	2126	187
919	2128	185
920	2130	182
921	2132	180
922	2134	178
923	2135	175
924	2139	173
925	2141	171
926	2144	168
927	2146	166
928	2148	164
929	2150	161
930	2153	159
931	2156	157
932	2158	154
933	2162	152
934	2163	150
935	2165	148
936	2168	145
937	2174	143
938	2176	141
939	2178	139
940	2181	136
941	2184	134
942	2187	132
943	2189	129
944	2191	127
945	2195	125
946	2197	123
947	2200	120
948	2202	118
949	2203	115
950	2205	113
951	2208	111
952	2210	109
953	2212	106
954	2214	104
955	2216	102
956	2218	99
957	2220	97
958	2223	95
959	2225	92
960	2227	90
961	2229	88
962	2231	85
963	2232	83
964	2234	81
965	2243	78
966	2246	76
967	2255	74
968	2257	72
969	2259	69
970	2261	67
971	2266	65
972	2268	62
973	2270	60
974	2272	58
975	2275	55
976	2278	53
977	2279	51
978	2282	48
979	2285	46
980	2287	44
981	2293	42
982	2299	39
983	2301	37
984	2304	35
985	2312	32
986	2316	30
987	2322	28
988	2324	25
989	2326	23
990	2329	21
991	2332	18
992	2336	16
993	2338	14
994	2340	11
995	2342	9
996	2347	7
997	2351	4
998	2354	2
999	2357	0
